season,line_id,direction,time_period_id,station_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow
Fall 2017,blue,0,time_period_02,place-orhte,37523,1211,82,458,15,1987
Fall 2017,blue,0,time_period_02,place-rbmnl,28265,1323,82,345,16,1126
Fall 2017,blue,0,time_period_02,place-sdmnl,4531,261,82,55,3,1544
Fall 2017,blue,0,time_period_02,place-state,483,151881,82,6,1852,1428
Fall 2017,blue,0,time_period_02,place-wimnl,19373,1723,82,236,21,2202
Fall 2017,blue,0,time_period_02,place-wondl,65393,0,82,797,0,797
Fall 2017,blue,0,time_period_03,place-aport,110241,10442,82,1344,127,7979
Fall 2017,blue,0,time_period_03,place-aqucl,6181,114044,82,75,1391,9374
Fall 2017,blue,0,time_period_03,place-bmmnl,90806,1341,82,1107,16,4738
Fall 2017,blue,0,time_period_03,place-bomnl,0,62603,82,0,763,0
Fall 2017,blue,0,time_period_03,place-gover,144,284533,82,2,3470,763
Fall 2017,blue,0,time_period_03,place-mvbcl,239147,16866,82,2916,206,10690
Fall 2017,blue,0,time_period_03,place-orhte,110837,2702,82,1352,33,6236
Fall 2017,blue,0,time_period_03,place-rbmnl,69149,3124,82,843,38,3647
Fall 2017,blue,0,time_period_03,place-sdmnl,15114,469,82,184,6,4917
Fall 2017,blue,0,time_period_03,place-state,1614,423301,82,20,5162,4232
Fall 2017,blue,0,time_period_03,place-wimnl,46719,3592,82,570,44,6762
Fall 2017,blue,0,time_period_03,place-wondl,233063,0,82,2842,0,2842
Fall 2017,blue,0,time_period_04,place-aport,113660,20596,82,1386,251,5290
Fall 2017,blue,0,time_period_04,place-aqucl,14096,70624,82,172,861,6535
Fall 2017,blue,0,time_period_04,place-bmmnl,55352,2861,82,675,35,2842
Fall 2017,blue,0,time_period_04,place-bomnl,0,35199,82,0,429,0
Fall 2017,blue,0,time_period_04,place-gover,345,225534,82,4,2750,429
Fall 2017,blue,0,time_period_04,place-mvbcl,189320,30740,82,2309,375,7224
Fall 2017,blue,0,time_period_04,place-orhte,73674,4828,82,898,59,3782
Fall 2017,blue,0,time_period_04,place-rbmnl,62431,3724,82,761,45,2202
Fall 2017,blue,0,time_period_04,place-sdmnl,9494,1258,82,116,15,2942
Fall 2017,blue,0,time_period_04,place-state,4286,279745,82,52,3412,3175
Fall 2017,blue,0,time_period_04,place-wimnl,33851,3223,82,413,39,4155
Fall 2017,blue,0,time_period_04,place-wondl,121823,0,82,1486,0,1486
Fall 2017,blue,0,time_period_05,place-aport,82284,12421,82,1003,151,2889
Fall 2017,blue,0,time_period_05,place-aqucl,19909,39993,82,243,488,3670
Fall 2017,blue,0,time_period_05,place-bmmnl,29239,2555,82,357,31,1339
Fall 2017,blue,0,time_period_05,place-bomnl,0,16737,82,0,204,0
Fall 2017,blue,0,time_period_05,place-gover,298,126256,82,4,1540,204
Fall 2017,blue,0,time_period_05,place-mvbcl,111056,26945,82,1354,329,3915
Fall 2017,blue,0,time_period_05,place-orhte,37192,4164,82,454,51,1793
Fall 2017,blue,0,time_period_05,place-rbmnl,36408,2505,82,444,31,1013
Fall 2017,blue,0,time_period_05,place-sdmnl,5002,753,82,61,9,1390
Fall 2017,blue,0,time_period_05,place-state,4516,162780,82,55,1985,1740
Fall 2017,blue,0,time_period_05,place-wimnl,22986,2963,82,280,36,2037
Fall 2017,blue,0,time_period_05,place-wondl,49182,0,82,600,0,600
