route_id,station_id,stop_order,distance_from_last_station_miles
0,place-wondl,1,0.0
0,place-rbmnl,2,0.4
0,place-bmmnl,3,0.73
0,place-sdmnl,4,0.57
0,place-orhte,5,0.44
0,place-wimnl,6,1.08
0,place-aport,7,0.63
0,place-mvbcl,8,0.57
0,place-aqucl,9,0.9
0,place-state,10,0.28
0,place-gover,11,0.17
0,place-bomnl,12,0.17
1,place-bomnl,1,0.0
1,place-gover,2,0.15
1,place-state,3,0.18
1,place-aqucl,4,0.28
1,place-mvbcl,5,0.9
1,place-aport,6,0.57
1,place-wimnl,7,0.63
1,place-orhte,8,1.08
1,place-sdmnl,9,0.47
1,place-bmmnl,10,0.54
1,place-rbmnl,11,0.73
1,place-wondl,12,0.4
2,place-gover,1,0.0
2,place-pktrm,2,0.253
2,place-boyls,3,0.263
2,place-armnl,4,0.355
2,place-coecl,5,0.362
2,place-hymnl,6,0.565
2,place-kencl,7,0.343
2,place-bland,8,0.317
2,place-buest,9,0.0
2,place-bucen,10,0.0
2,place-buwst,11,0.0
2,place-stpul,12,0.0
2,place-plsgr,13,0.0
2,place-babck,14,0.0
2,place-brico,15,1.286
2,place-harvd,16,0.0
2,place-grigg,17,0.0
2,place-alsgr,18,0.0
2,place-wrnst,19,0.0
2,place-wascm,20,0.0
2,place-sthld,21,0.0
2,place-chswk,22,0.0
2,place-chill,23,1.946
2,place-sougr,24,0.0
2,place-lake,25,0.724
3,place-gover,1,0.279
3,place-pktrm,2,0.253
3,place-boyls,3,0.263
3,place-armnl,4,0.355
3,place-coecl,5,0.362
3,place-hymnl,6,0.565
3,place-kencl,7,0.343
3,place-smary,8,0.0
3,place-hwsst,9,0.0
3,place-kntst,10,0.0
3,place-stplb,11,0.0
3,place-stpul,11,0.0
3,place-cool,12,0.756
3,place-sumav,13,0.0
3,place-bndhl,14,0.0
3,place-fbkst,15,0.0
3,place-bcnwa,16,0.757
3,place-tapst,17,0.0
3,place-denrd,18,0.0
3,place-engav,19,0.0
3,place-clmnl,20,0.755
4,place-north,1,0.0
4,place-haecl,2,0.0
4,place-gover,3,0.0
4,place-pktrm,4,0.57
4,place-boyls,5,0.315
4,place-armnl,6,0.318
4,place-coecl,7,0.365
4,place-hymnl,8,0.0
4,place-kencl,9,0.928
4,place-fenwy,10,0.0
4,place-longw,11,0.0
4,place-bvmnl,12,0.0
4,place-brkhl,13,0.0
4,place-bcnfd,14,2.471
4,place-rsmnl,15,0.431
4,place-chhil,16,0.0
4,place-newto,17,0.0
4,place-newtn,18,0.0
4,place-eliot,19,4.04
4,place-waban,20,0.0
4,place-woodl,21,0.0
4,place-river,22,2.225
5,place-lech,1,0.0
5,place-spmnl,2,0.446
5,place-north,3,0.546
5,place-haecl,4,0.219
5,place-gover,5,0.279
5,place-pktrm,6,0.253
5,place-boyls,7,0.263
5,place-armnl,8,0.355
5,place-coecl,9,0.362
5,place-prmnl,10,0.422
5,place-symcl,11,0.231
5,place-nuniv,12,0.281
5,place-mfa,13,0.0
5,place-lngmd,14,0.0
5,place-brmnl,15,0.918
5,place-fenwd,16,0.0
5,place-mispk,17,0.0
5,place-rvrwy,18,0.0
5,place-bckhl,19,0.0
5,place-hsmnl,20,0.699
6,place-lake,1,0.0
6,place-sougr,2,0.0
6,place-chill,3,0.768
6,place-chswk,4,0.0
6,place-sthld,5,0.0
6,place-wascm,6,0.0
6,place-wrnst,7,0.0
6,place-alsgr,8,0.0
6,place-grigg,9,0.0
6,place-harvd,10,0.0
6,place-brico,11,1.947
6,place-babck,12,0.0
6,place-plsgr,13,0.0
6,place-stpul,14,0.0
6,place-buwst,15,0.0
6,place-bucen,16,0.0
6,place-buest,17,0.0
6,place-bland,18,1.273
6,place-kencl,19,0.264
6,place-hymnl,20,0.362
6,place-coecl,21,0.565
6,place-armnl,22,0.363
6,place-boyls,23,0.325
6,place-pktrm,24,0.303
6,place-gover,25,0.249
7,place-clmnl,1,0.0
7,place-engav,2,0.0
7,place-denrd,3,0.0
7,place-tapst,4,0.0
7,place-bcnwa,5,0.763
7,place-fbkst,6,0.0
7,place-bndhl,7,0.0
7,place-sumav,8,0.0
7,place-cool,9,0.749
7,place-stplb,10,0.0
7,place-stpul,10,0.0
7,place-kntst,11,0.0
7,place-hwsst,12,0.0
7,place-smary,13,0.756
7,place-kencl,14,0.0
7,place-hymnl,15,0.0
7,place-coecl,16,0.907
7,place-armnl,17,0.363
7,place-boyls,18,0.322
7,place-pktrm,19,0.296
7,place-gover,20,0.257
8,place-river,1,0.0
8,place-woodl,2,0.0
8,place-waban,3,0.0
8,place-eliot,4,2.225
8,place-newtn,5,0.0
8,place-newto,6,0.0
8,place-chhil,7,0.0
8,place-rsmnl,8,4.04
8,place-bcnfd,9,0.431
8,place-brkhl,10,0.0
8,place-bvmnl,11,0.0
8,place-longw,12,0.0
8,place-fenwy,13,2.47
8,place-kencl,14,0.0
8,place-hymnl,15,0.362
8,place-coecl,16,0.565
8,place-armnl,17,0.363
8,place-boyls,18,0.325
8,place-pktrm,19,0.303
8,place-gover,20,0.249
8,place-haecl,21,0.0
8,place-north,22,0.0
9,place-hsmnl,1,0.0
9,place-bckhl,2,0.0
9,place-rvrwy,3,0.0
9,place-mispk,4,0.0
9,place-fenwd,5,0.0
9,place-brmnl,6,0.699
9,place-lngmd,7,0.0
9,place-mfa,8,0.0
9,place-nuniv,9,0.918
9,place-symcl,10,0.281
9,place-prmnl,11,0.232
9,place-coecl,12,0.422
9,place-armnl,13,0.363
9,place-boyls,14,0.325
9,place-pktrm,15,0.303
9,place-gover,16,0.257
9,place-haecl,17,0.275
9,place-north,18,0.22
9,place-spmnl,19,0.543
9,place-lech,20,0.447
10,place-asmnl,1,0.0
10,place-cedgr,2,0.38
10,place-butlr,3,0.57
10,place-miltt,4,0.29
10,place-cenav,5,0.31
10,place-valrd,6,0.44
10,place-capst,7,0.3
10,place-matt,8,0.26
11,place-matt,1,0.0
11,place-capst,2,0.25
11,place-valrd,3,0.31
11,place-cenav,4,0.43
11,place-miltt,5,0.42
11,place-butlr,6,0.29
11,place-cedgr,7,0.57
11,place-asmnl,8,0.38
12,place-ogmnl,1,0.0
12,place-mlmnl,2,0.83
12,place-welln,3,1.75
12,place-astao,4,0.0
12,place-sull,5,1.19
12,place-ccmnl,6,0.83
12,place-north,7,0.81
12,place-haecl,8,0.27
12,place-state,9,0.35
12,place-dwnxg,10,0.18
12,place-chncl,11,0.25
12,place-tumnl,12,0.27
12,place-bbsta,13,0.55
12,place-masta,14,0.69
12,place-rugg,15,0.41
12,place-rcmnl,16,0.52
12,place-jaksn,17,0.55
12,place-sbmnl,18,0.51
12,place-grnst,19,0.51
12,place-forhl,20,0.69
13,place-forhl,1,0.0
13,place-grnst,2,0.69
13,place-sbmnl,3,0.51
13,place-jaksn,4,0.51
13,place-rcmnl,5,0.55
13,place-rugg,6,0.52
13,place-masta,7,0.41
13,place-bbsta,8,0.69
13,place-tumnl,9,0.55
13,place-chncl,10,0.27
13,place-dwnxg,11,0.25
13,place-state,12,0.25
13,place-haecl,13,0.22
13,place-north,14,0.27
13,place-ccmnl,15,0.81
13,place-sull,16,0.83
13,place-astao,17,0.0
13,place-welln,18,1.19
13,place-mlmnl,19,1.75
13,place-ogmnl,20,0.83
14,place-alfcl,1,0.0
14,place-davis,2,0.96
14,place-portr,3,0.66
14,place-harsq,4,0.99
14,place-cntsq,5,1.08
14,place-knncl,6,0.95
14,place-chmnl,7,0.71
14,place-pktrm,8,0.56
14,place-dwnxg,9,0.22
14,place-sstat,10,0.27
14,place-brdwy,11,0.82
14,place-andrw,12,0.84
14,place-jfk,13,0.74
14,place-shmnl,14,0.7
14,place-fldcr,15,1.0
14,place-smmnl,16,0.59
14,place-asmnl,17,0.62
15,place-alfcl,1,0.0
15,place-davis,2,0.96
15,place-portr,3,0.66
15,place-harsq,4,0.99
15,place-cntsq,5,1.08
15,place-knncl,6,0.95
15,place-chmnl,7,0.71
15,place-pktrm,8,0.56
15,place-dwnxg,9,0.22
