station_id,station_name
place-aport,Airport
place-alfcl,Alewife
place-alsgr,Allston Street
place-andrw,Andrew
place-aqucl,Aquarium
place-armnl,Arlington
place-asmnl,Ashmont
place-astao,Assembly
place-babck,Babcock Street
place-bbsta,Back Bay
place-bckhl,Back of the Hill
place-bmmnl,Beachmont
place-bcnfd,Beaconsfield
place-bland,Blandford Street
place-lake,Boston College
place-bucen,Boston Univ. Central
place-buest,Boston Univ. East
place-buwst,Boston Univ. West
place-bomnl,Bowdoin
place-boyls,Boylston
place-brntn,Braintree
place-bndhl,Brandon Hall
place-brmnl,Brigham Circle
place-brdwy,Broadway
place-brkhl,Brookline Hills
place-bvmnl,Brookline Village
place-butlr,Butler
place-capst,Capen Street
place-cedgr,Cedar Grove
place-cntsq,Central
place-cenav,Central Ave.
place-chmnl,Charles/MGH
place-chhil,Chestnut Hill
place-chill,Chestnut Hill Ave.
place-chncl,Chinatown
place-chswk,Chiswick Road
place-clmnl,Cleveland Circle
place-ccmnl,Community College
place-cool,Coolidge Corner
place-coecl,Copley
place-davis,Davis
place-denrd,Dean Road
place-dwnxg,Downtown Crossing
place-eliot,Eliot
place-engav,Englewood Ave.
place-fbkst,Fairbanks Street
place-fenwy,Fenway
place-fenwd,Fenwood Road
place-fldcr,Fields Corner
place-forhl,Forest Hills
place-gover,Government Center
place-grnst,Green Street
place-grigg,Griggs Street
place-harsq,Harvard
place-harvd,Harvard Ave.
place-hwsst,Hawes Street
place-haecl,Haymarket
place-hsmnl,Heath Street
place-hymnl,Hynes Convention Center
place-jfk,JFK/Umass
place-jaksn,Jackson Square
place-knncl,Kendall/MIT
place-kencl,Kenmore
place-kntst,Kent Street
place-lech,Lechmere
place-longw,Longwood
place-lngmd,Longwood Medical Area
place-mlmnl,Malden Center
place-masta,Massachusetts Ave.
place-matt,Mattapan
place-mvbcl,Maverick
place-miltt,Milton
place-mispk,Mission Park
place-mfa,Museum of Fine Arts
place-newto,Newton Centre
place-newtn,Newton Highlands
place-nqncy,North Quincy
place-north,North Station
place-nuniv,Northeastern University
place-ogmnl,Oak Grove
place-orhte,Orient Heights
place-brico,Packards Corner
place-pktrm,Park Street
place-plsgr,Pleasant Street
place-portr,Porter
place-prmnl,Prudential
place-qamnl,Quincy Adams
place-qnctr,Quincy Center
place-rsmnl,Reservoir
place-rbmnl,Revere Beach
place-river,Riverside
place-rvrwy,Riverway
place-rcmnl,Roxbury Crossing
place-rugg,Ruggles
place-smary,Saint Mary Street
place-stplb,Saint Paul Street
place-stpul,Saint Paul Street
place-shmnl,Savin Hill
place-spmnl,Science Park
place-smmnl,Shawmut
place-sstat,South Station
place-sougr,South Street
place-state,State Street
place-sbmnl,Stony Brook
place-sdmnl,Suffolk Downs
place-sull,Sullivan Square
place-sumav,Summit Ave.
place-sthld,Sutherland Road
place-symcl,Symphony
place-tapst,Tappan Street
place-tumnl,Tufts Medical Center
place-valrd,Valley Road
place-waban,Waban
place-wrnst,Warren Street
place-bcnwa,Washington Square
place-wascm,Washington Street
place-welln,Wellington
place-wlsta,Wollaston
place-wondl,Wonderland
place-wimnl,Wood Island
place-woodl,Woodland
